PLAYER_NAME,PLAYER_HEIGHT,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PLAYER_ID
"A.J. Guyton",185.42,81.64656,Indiana,USA,2000,2,32,2062
"Aaron Brooks",182.88,73.028312,Oregon,USA,2007,1,26,201166
"Aaron Gordon",205.74,99.79024,Arizona,USA,2014,1,4,203932
"Aaron Gray",213.36,122.46984,Pittsburgh,USA,2007,2,49,201189
"Aaron Holiday",185.42,83.91452,UCLA,USA,2018,1,23,1628988
"Aaron McKie",195.58,94.800728,Temple,USA,1994,1,17,243
"Aaron Miles",185.42,86.18248,Kansas,USA,Undrafted,Undrafted,Undrafted,101223
"Aaron Williams",205.74,102.0582,Xavier,USA,Undrafted,Undrafted,Undrafted,1425
"Abdel Nader",198.12,104.32616,"Iowa State",Egypt,2016,2,58,1627846
"Acie Law",190.5,88.45044,"Texas A&M",USA,2007,1,11,201151
"Adam Mokoka",195.58,86.18248,None,France,Undrafted,Undrafted,Undrafted,1629690
"Adam Morrison",203.2,92.98636,Gonzaga,USA,2006,1,3,200747
"Admiral Schofield",195.58,109.315672,Tennessee,"United Kingdom",2019,2,42,1629678
"Adonal Foyle",208.28,113.398,Colgate,"St. Vincent & Grenadines",1997,1,8,1502
"Adrian Griffin",195.58,97.52228,"Seton Hall",USA,Undrafted,Undrafted,Undrafted,1559
"AJ Price",187.96,82.100152,Connecticut,USA,2009,2,52,201985
"Al Harrington",205.74,104.32616,None,USA,1998,1,25,1733
"Al Horford",208.28,111.13004,Florida,"Dominican Republic",2007,1,3,201143
"Al Jefferson",208.28,120.20188,None,USA,2004,1,15,2744
"Al Thornton",203.2,99.79024,"Florida State",USA,2007,1,14,201154
"Alan Anderson",198.12,99.79024,"Michigan State",USA,Undrafted,Undrafted,Undrafted,101187
"Alan Henderson",205.74,106.59412,Indiana,USA,1995,1,16,673
"Alando Tucker",198.12,92.98636,Wisconsin,USA,2007,1,29,201169
"Alec Burks",198.12,91.625584,Colorado,USA,2011,1,12,202692
"Aleksandar Radojevic",220.98,111.13004,"Barton Community College",USA,1999,1,12,1893
"Alen Smailagic",208.28,97.52228,None,Serbia,2019,2,39,1629346
"Alex Acker",195.58,83.91452,Pepperdine,USA,2005,2,60,101165
"Alex Caruso",195.58,84.368112,"Texas A&M",USA,Undrafted,Undrafted,Undrafted,1627936
"Alex Garcia",190.5,88.45044,None,USA,Undrafted,Undrafted,Undrafted,2682
"Alex Len",215.9,115.66596,Maryland,Ukraine,2013,1,5,203458
"Alex Scales",193.04,88.45044,Oregon,USA,Undrafted,Undrafted,Undrafted,2637
"Alexander Johnson",205.74,108.86208,"Florida State",USA,2006,2,45,200792
"Alexis Ajinca",213.36,99.79024,None,France,2008,1,20,201582
"Al-Farouq Aminu",205.74,97.52228,"Wake Forest",USA,2010,1,8,202329
"Alfonzo McKinnie",203.2,97.52228,None,USA,Undrafted,Undrafted,Undrafted,1628035
"Alize Johnson",205.74,96.161504,"Missouri State",USA,2018,2,50,1628993
"Allan Houston",198.12,90.7184,Tennessee,USA,1993,1,11,275
"Allan Ray",187.96,86.18248,Villanova,USA,Undrafted,Undrafted,Undrafted,200810
"Allen Crabbe",198.12,95.25432,California,USA,2013,2,31,203459
"Allen Iverson",182.88,74.84268,Georgetown,USA,1996,1,1,947
"Allonzo Trier",195.58,90.7184,Arizona,USA,Undrafted,Undrafted,Undrafted,1629019
"Alonzo Gee",198.12,99.79024,Alabama,USA,Undrafted,Undrafted,Undrafted,202087
"Alonzo Mourning",208.28,118.387512,Georgetown,USA,1992,1,2,297
"Alton Ford",205.74,124.7378,Houston,USA,2001,2,50,2228
"Alvin Williams",195.58,83.91452,Villanova,USA,1997,2,47,1541
"Amal McCaskill",210.82,106.59412,Marquette,USA,1996,2,49,1043
"Amar'e Stoudemire",208.28,111.13004,None,USA,2002,1,9,2405
"Amile Jefferson",205.74,100.697424,Duke,USA,Undrafted,Undrafted,Undrafted,1628518
"Amir Coffey",200.66,95.25432,None,USA,Undrafted,Undrafted,Undrafted,1629599
"Amir Johnson",205.74,95.25432,None,USA,2005,2,56,101161
"Anderson Varejao",208.28,104.32616,None,Brazil,2004,2,30,2760
"Andray Blatche",210.82,106.59412,None,USA,2005,2,49,101154
"Andre Barrett",177.8,78.471416,"Seton Hall",USA,Undrafted,Undrafted,Undrafted,2857
"Andre Brown",205.74,111.13004,DePaul,USA,Undrafted,Undrafted,Undrafted,2810
"Andre Drummond",208.28,122.46984,Connecticut,USA,2012,1,9,203083
"Andre Emmett",195.58,104.32616,"Texas Tech",USA,2004,2,35,2765
"Andre Iguodala",198.12,93.893544,Arizona,USA,2004,1,9,2738
"Andre Miller",187.96,92.079176,Utah,USA,1999,1,8,1889
"Andre Owens",193.04,90.7184,Houston,USA,Undrafted,Undrafted,Undrafted,101261
"Andrea Bargnani",213.36,113.398,None,Italy,2006,1,1,200745
"Andreas Glyniadakis",215.9,127.00576,None,USA,2003,2,58,2601
"Andrei Kirilenko",205.74,95.25432,None,Russia,1999,1,24,1905
"Andres Nocioni",200.66,102.0582,None,Argentina,Undrafted,Undrafted,Undrafted,2804
"Andrew Bogut",213.36,111.13004,Utah,Australia,2005,1,1,101106
"Andrew Bynum",213.36,124.7378,None,USA,2005,1,10,101115
"Andrew DeClercq",208.28,104.32616,Florida,USA,1995,2,34,692
"Andrew Goudelock",190.5,90.7184,"College of Charleston",USA,2011,2,46,202726
"Andrew Wiggins",203.2,90.264808,Kansas,Canada,2014,1,1,203952
"Andris Biedrins",210.82,108.86208,None,Latvia,2004,1,11,2740
"Anfernee Hardaway",200.66,97.52228,Memphis,USA,1993,1,3,358
"Anfernee Simons",193.04,83.91452,None,USA,2018,1,24,1629014
"Ansu Sesay",205.74,102.0582,Mississippi,USA,1998,2,30,1738
"Antawn Jamison",205.74,101.151016,"North Carolina",USA,1998,1,4,1712
"Ante Zizic",210.82,113.398,None,Croatia,2016,1,23,1627790
"Anthony Carter",185.42,86.18248,Hawaii,USA,Undrafted,Undrafted,Undrafted,1853
"Anthony Davis",208.28,99.79024,Kentucky,USA,2012,1,1,203076
"Anthony Goldwire",187.96,82.553744,Houston,USA,1994,2,52,924
"Anthony Grundy",190.5,83.91452,"North Carolina State",USA,Undrafted,Undrafted,Undrafted,101219
"Anthony Johnson",190.5,86.18248,"College of Charleston",USA,1997,2,39,1533
"Anthony Miller",205.74,115.66596,"Michigan State",USA,1994,2,39,292
"Anthony Morrow",195.58,95.25432,"Georgia Tech",USA,Undrafted,Undrafted,Undrafted,201627
"Anthony Parker",198.12,97.52228,Bradley,USA,1997,1,21,1515
"Anthony Peeler",193.04,94.347136,Missouri,USA,1992,1,15,324
"Anthony Randolph",208.28,95.25432,"Louisiana State",USA,2008,1,14,201576
"Anthony Roberson",187.96,81.64656,Florida,USA,Undrafted,Undrafted,Undrafted,101194
"Anthony Tolliver",203.2,108.86208,Creighton,USA,Undrafted,Undrafted,Undrafted,201229
"Antoine Walker",205.74,101.604608,Kentucky,USA,1996,1,6,952
"Antoine Wright",200.66,95.25432,"Texas A&M",USA,2005,1,15,101120
"Antonio Burks",182.88,88.45044,Memphis,USA,2004,2,36,2766
"Antonio Daniels",193.04,88.45044,"Bowling Green",USA,1997,1,4,1498
"Antonio Davis",205.74,104.32616,"Texas-El Paso",USA,1990,2,45,213
"Antonio McDyess",205.74,99.79024,Alabama,USA,1995,1,2,686
"Antonius Cleveland",198.12,88.45044,"S.E. Missouri",USA,Undrafted,Undrafted,Undrafted,1628499
"Anzejs Pasecniks",218.44,103.872568,None,Latvia,2017,1,25,1628394
"Armon Johnson",190.5,88.45044,Nevada,USA,2010,2,34,202356
"Aron Baynes",208.28,117.93392,"Washington State",Australia,Undrafted,Undrafted,Undrafted,203382
"Arron Afflalo",195.58,97.52228,UCLA,USA,2007,1,27,201167
"Arvydas Macijauskas",193.04,97.068688,None,Lithuania,Undrafted,Undrafted,Undrafted,101178
"Austin Croshere",205.74,106.59412,Providence,USA,1997,1,12,1506
"Austin Daye",210.82,90.7184,Gonzaga,USA,2009,1,15,201948
"Austin Rivers",193.04,90.7184,Duke,USA,2012,1,10,203085
"Avery Bradley",187.96,81.64656,Texas,USA,2010,1,19,202340
"Avery Johnson",180.34,81.64656,Southern,USA,Undrafted,Undrafted,Undrafted,422
"Awvee Storey",198.12,102.0582,"Arizona State",USA,Undrafted,Undrafted,Undrafted,2852
"Bam Adebayo",208.28,115.66596,Kentucky,USA,2017,1,14,1628389
"Baron Davis",190.5,95.25432,UCLA,USA,1999,1,3,1884
"Ben Gordon",190.5,90.7184,Connecticut,USA,2004,1,3,2732
"Ben Handlogten",208.28,108.86208,"Western Michigan",USA,Undrafted,Undrafted,Undrafted,1052
"Ben McLemore",195.58,88.45044,Kansas,USA,2013,1,7,203463
"Ben Simmons",208.28,104.32616,"Louisiana State",Australia,2016,1,1,1627732
"Ben Uzoh",190.5,92.98636,Tulsa,USA,Undrafted,Undrafted,Undrafted,202386
"Ben Wallace",205.74,108.86208,"Virginia Union",USA,Undrafted,Undrafted,Undrafted,1112
"Beno Udrih",190.5,90.7184,None,Slovenia,2004,1,28,2757
"Bernard Robinson",198.12,95.25432,Michigan,USA,2004,2,45,2774
"Billy Thomas",195.58,98.883056,Kansas,USA,Undrafted,Undrafted,Undrafted,2873
"Bimbo Coles",187.96,82.553744,"Virginia Tech",USA,1990,2,40,902
"Bismack Biyombo",205.74,111.13004,None,"Democratic Republic of the Congo",2011,1,7,202687
