GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,FGA,FG3A,FTA,BLK,PTS
21900895,1610612749,MIL,Milwaukee,202083,Wesley Matthews,F,NULL,11,7,0,0,8
21900895,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,F,NULL,28,4,7,0,41
21900895,1610612749,MIL,Milwaukee,201572,Brook Lopez,C,NULL,11,5,9,3,16
21900895,1610612749,MIL,Milwaukee,1628978,Donte DiVincenzo,G,NULL,5,3,0,1,2
21900895,1610612749,MIL,Milwaukee,202339,Eric Bledsoe,G,NULL,8,1,0,0,4
21900895,1610612749,MIL,Milwaukee,1626192,Pat Connaughton,NULL,NULL,5,4,2,0,6
21900895,1610612749,MIL,Milwaukee,201577,Robin Lopez,NULL,NULL,5,0,0,1,2
21900895,1610612749,MIL,Milwaukee,1628425,Sterling Brown,NULL,NULL,2,2,0,0,3
21900895,1610612749,MIL,Milwaukee,101107,Marvin Williams,NULL,NULL,1,1,0,1,0
21900895,1610612749,MIL,Milwaukee,201588,George Hill,NULL,NULL,11,4,3,0,11
21900895,1610612766,CHA,Charlotte,1628970,Miles Bridges,F,NULL,13,7,0,2,7
21900895,1610612766,CHA,Charlotte,1629023,P.J. Washington,F,NULL,14,8,1,2,12
21900895,1610612766,CHA,Charlotte,202687,Bismack Biyombo,C,NULL,8,0,4,2,8
21900895,1610612766,CHA,Charlotte,1628984,Devonte' Graham,G,NULL,18,8,1,0,17
21900895,1610612766,CHA,Charlotte,1626179,Terry Rozier,G,NULL,18,3,1,0,13
21900895,1610612766,CHA,Charlotte,1628998,Cody Martin,NULL,NULL,8,5,1,1,11
21900895,1610612766,CHA,Charlotte,1629667,Jalen McDaniels,NULL,NULL,2,1,0,1,2
21900895,1610612766,CHA,Charlotte,1626195,Willy Hernangomez,NULL,NULL,9,1,2,0,10
21900895,1610612766,CHA,Charlotte,1628997,Caleb Martin,NULL,NULL,6,2,0,0,5
21900896,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,F,NULL,6,0,2,1,9
21900896,1610612742,DAL,Dallas,204001,Kristaps Porzingis,C,NULL,25,14,10,5,38
21900896,1610612742,DAL,Dallas,1626153,Delon Wright,G,NULL,9,3,0,0,4
21900896,1610612742,DAL,Dallas,203552,Seth Curry,G,NULL,17,7,4,0,27
21900896,1610612742,DAL,Dallas,1628382,Justin Jackson,NULL,NULL,4,2,0,0,2
21900896,1610612742,DAL,Dallas,1628467,Maxi Kleber,NULL,NULL,3,2,0,1,2
21900896,1610612742,DAL,Dallas,201584,Courtney Lee,NULL,NULL,4,0,0,0,4
21900896,1610612742,DAL,Dallas,200826,J.J. Barea,NULL,NULL,8,4,0,0,4
21900896,1610612742,DAL,Dallas,203077,Michael Kidd-Gilchrist,NULL,NULL,0,0,0,0,0
21900896,1610612742,DAL,Dallas,1626246,Boban Marjanovic,NULL,NULL,2,1,0,0,2
