nsmoid,gender,loan_amount_cat,jumbo,pmms,term,cltv,dti,pti,loan_type,gse,cu,metro_lmi,borrower_num,first_mort_r,DLQ90_3year,Race_Ethnicity,min_fico,rate_spread
400046,2,3,2,2.719999999,30,47,43,43,1,1,2,3,1,1,,W,710,0.28
400055,2,5,2,2.719999999,30,88,33,33,1,2,2,1,1,1,,W,771,0.03
400141,1,9,2,2.259999998,15,74,39,39,1,2,2,1,1,2,,W,783,0.12
400283,1,6,2,2.719999999,30,75,34,34,1,1,2,1,2,2,,W,805,0.16
400384,1,9,2,2.779999994,30,65,32,32,3,-2,1,1,2,2,,W,740,-0.03
400424,1,9,2,2.259999998,15,51,44,44,1,2,2,1,1,2,,W,801,-0.26
400503,2,9,2,2.799999997,30,70,45,45,1,1,2,1,2,2,,W,781,0.2
400507,2,7,2,2.719999999,30,63,28,28,1,2,2,2,2,2,,W,806,-0.09
400547,1,8,2,2.799999997,30,80,25,25,1,1,2,1,1,2,,A,719,-0.05
400706,2,6,2,2.719999999,20,54,30,30,1,1,1,1,2,2,,W,651,0.28
400799,1,7,2,2.809999995,30,80,20,20,1,1,2,1,1,1,,A,775,-0.18
400839,2,4,2,2.719999999,30,97,32,32,1,1,2,3,1,1,,W,765,0.28
400845,2,8,2,2.719999999,20,49,26,26,1,2,2,3,2,2,,W,795,-0.09
400933,1,8,2,2.319999993,15,62,42,42,1,1,2,1,2,2,,W,783,0.18
400950,1,7,2,2.779999994,30,53,16,16,1,1,2,1,1,2,,W,772,0.22
400963,2,3,2,2.809999995,30,80,43,43,1,2,2,1,1,2,,W,828,0.44
401000,2,6,2,2.839999996,30,71,43,43,1,2,2,1,2,2,,H,664,0.04
401003,2,9,2,2.879999995,30,60,49,49,1,2,2,1,1,2,,W,715,-0.25
401135,2,5,2,2.709999993,30,77,35,35,1,2,2,1,2,2,,W,815,0.17
401188,1,6,2,2.719999999,30,80,38,38,1,1,2,3,2,2,,W,737,0.28
401353,1,5,2,2.719999999,30,97,40,40,3,-2,2,3,2,2,,W,814,0.03
401703,2,6,2,2.719999999,30,51,24,24,1,2,2,1,1,2,,W,789,0.16
401783,2,6,2,2.709999993,20,85,36,36,1,1,1,3,2,2,,W,792,0.17
401927,1,5,2,2.719999999,30,70,20,20,1,1,2,3,1,2,,W,676,0.16
401935,1,9,2,2.899999999,30,80,47,47,1,1,2,1,2,2,,W,819,-0.15
402168,2,7,2,2.709999993,30,59,30,30,1,1,2,1,1,2,,W,799,0.17
402233,1,5,2,2.899999999,30,100,38,38,3,-2,2,1,1,1,,O,654,0.23
402334,2,4,2,2.349999994,15,73,14,14,1,1,2,2,2,2,,W,765,0.53
402635,1,6,2,2.259999998,15,62,18,18,1,2,2,1,2,2,,W,821,0.49
402654,2,4,2,2.93,30,47,36,36,1,2,2,1,1,1,,W,791,-0.93
402675,2,5,2,2.709999993,30,82,47,47,1,2,2,1,1,2,,H,648,0.29
402691,2,5,2,2.259999998,15,48,35,35,1,1,2,2,2,2,,W,620,0.74
402782,2,4,2,2.719999999,30,90,57,57,3,-2,2,1,1,2,,W,708,-0.09
402926,2,3,2,2.869999997,30,80,43,43,1,2,2,1,1,2,,W,639,0.76
403227,1,5,2,2.809999995,25,74,50,50,1,1,2,1,1,2,,W,716,0.07
403283,2,8,2,2.93,30,80,43,43,2,-2,2,1,1,2,,A,805,-0.18
403495,1,5,2,2.719999999,30,75,39,39,1,2,2,3,2,2,,W,684,0.16
403567,2,8,2,2.719999999,30,68,36,36,3,-2,2,1,2,2,,W,760,-0.22
403701,1,6,2,2.809999995,30,79,42,42,1,2,2,1,2,2,,H,740,0.07
403752,2,6,2,2.719999999,30,70,35,35,1,2,2,1,2,1,,W,741,0.91
403843,1,5,2,2.259999998,15,74,44,44,1,2,2,3,2,2,,W,667,0.12
404252,1,8,2,2.899999999,30,65,50,50,1,2,2,1,2,2,,W,831,-0.15
404260,2,9,2,2.779999994,30,68,46,46,1,2,2,1,1,2,,W,809,-0.03
404278,1,9,2,2.779999994,30,88,39,39,3,-2,2,1,2,2,,W,742,-0.53
404481,2,4,2,2.809999995,25,59,32,32,1,2,2,2,2,2,,W,710,0.07
404532,2,7,2,2.719999999,30,87,33,33,1,1,2,1,2,2,,H,694,-0.09
404766,1,5,2,2.259999998,15,43,47,47,1,1,2,1,2,2,,W,823,0.12
404797,1,7,2,2.709999993,20,46,17,17,1,1,2,1,2,2,,W,803,-0.21
404877,2,8,2,2.839999996,30,80,37,37,1,1,2,1,2,2,,W,726,0.16
404978,1,6,2,2.709999993,30,60,27,27,1,2,2,2,1,2,,W,742,0.17
405071,1,9,2,2.809999995,30,59,22,22,1,1,2,1,2,2,,W,794,0.19
405112,1,8,2,2.719999999,30,82,42,42,1,1,2,1,2,2,,W,732,0.16
405158,2,9,2,2.779999994,30,84,35,35,3,-2,2,1,2,2,,W,813,-0.53
405237,2,4,2,2.779999994,30,94,39,39,1,2,2,1,1,1,,W,746,0.1
405271,2,4,2,2.259999998,15,80,18,18,1,2,2,1,2,2,,W,783,0.62
405297,2,7,2,2.259999998,15,53,49,49,1,2,2,2,1,2,,A,822,0.24
405324,1,5,2,2.809999995,25,94,33,33,3,-2,2,1,2,2,,W,802,-0.56
405443,2,3,2,2.809999995,30,68,29,29,1,2,2,1,1,2,,W,809,-0.06
405465,2,9,2,2.709999993,30,71,47,47,1,2,2,1,2,2,,W,753,-0.08
405494,1,7,2,2.279999994,15,66,33,33,1,2,2,1,2,2,,W,805,0.22
405499,2,7,2,2.319999993,15,86,29,29,1,-2,1,1,2,2,,W,635,0.18
405574,1,3,2,2.799999997,30,76,28,28,3,-2,2,3,2,2,,W,664,-0.55
405628,2,3,2,2.329999998,15,58,21,21,1,2,2,3,2,2,,W,797,-0.33
405704,2,6,2,2.799999997,30,102,57,57,3,-2,2,1,2,1,,W,685,-0.05
405769,1,9,2,2.709999993,30,80,47,47,1,1,2,1,2,2,,H,784,0.42
405812,2,5,2,2.869999997,30,60,42,42,1,2,2,1,2,2,,W,626,0.63
405924,1,5,2,2.349999994,15,37,40,40,1,2,2,1,2,2,,W,810,0.15
406159,2,4,2,2.879999995,30,74,22,22,1,1,2,2,1,2,,W,777,0.37
406449,2,3,2,2.989999995,30,16,50,50,1,2,2,1,1,2,,W,795,1.01
406483,1,9,2,2.799999997,30,20,40,40,1,2,2,1,2,2,,W,801,0.08
406603,1,9,2,2.869999997,30,70,40,40,1,1,2,1,2,2,,A,781,0.13
406876,2,4,2,2.809999995,30,72,23,23,1,2,2,1,2,2,,W,788,-0.31
406993,1,3,2,2.259999998,15,71,37,37,1,-2,2,1,1,2,,H,758,0.62
407164,2,3,2,2.779999994,20,60,23,23,1,1,2,2,1,2,,B,809,0.22
407408,1,6,2,2.719999999,30,48,34,34,1,2,2,1,2,2,,W,811,-0.22
